number,Date,Time,Event
1,09/10/2025,21:33:23,Eyes Closed
2,09/10/2025,21:56:41,Yawning
3,09/10/2025,21:56:43,Eyes Closed
4,09/10/2025,22:43:50,Eyes Closed
5,09/10/2025,22:43:57,Yawning
6,09/10/2025,22:44:00,Eyes Closed
7,09/10/2025,22:44:12,Eyes Closed
8,09/10/2025,22:44:20,Yawning
9,09/10/2025,22:44:22,Eyes Closed
10,09/10/2025,22:50:41,Eyes Closed
11,09/10/2025,22:51:56,Yawning
12,09/10/2025,22:52:00,Eyes Closed
13,09/10/2025,22:52:06,Eyes Closed
14,09/10/2025,22:52:11,Eyes Closed
15,09/10/2025,22:52:12,Yawning
16,09/10/2025,22:52:17,Yawning
17,09/10/2025,22:52:19,Eyes Closed
18,09/10/2025,22:52:25,Yawning
